"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"Acads",0.014,0.032,0.013,0.018,1.14219861209842,0.178867003558869,1,0.0867577249503642,0.866662319437893,1,0.365549316459728,0.714667664613324,1
"Acadsb",0.191,0.1,0.115,0.116,-1.033651223301,0.00255681605499342,1,-0.680749263744218,0.010152415571842,1,-0.858596075980471,0.00558502370205315,1
"Acadvl",0.412,0.351,0.403,0.38,-0.184782710515232,0.137798756980386,1,0.0214039869562643,0.924657363635152,1,-0.126619088589569,0.387080319797654,1
"Acan",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Acap1",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Acap2",0.17,0.143,0.182,0.165,-0.0383736335434044,0.457060598075179,1,0.10549428753195,0.688712773244874,1,-0.00512581256203548,0.895565272231787,1
"Acap3",0.116,0.068,0.093,0.103,-0.77979887590031,0.0577028801503831,1,-0.439311086717224,0.342591713378313,1,-0.226107836835436,0.604842001841381,1
"Acat1",0.202,0.219,0.208,0.222,0.188741198035447,0.600238402602326,1,0.178388200415932,0.786756106461374,1,0.216171692421502,0.484828174169285,1
"Acat2",0.018,0.004,0.013,0.003,-1.44276388862274,0.12854662950758,1,-0.439311086717225,0.603246403603391,1,-2.06741009081638,0.0380878344627959,1
"Acat3",0,0.004,0,0,1.14219861209842,0.29522671927477,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Acbd3",0.213,0.207,0.173,0.209,0.00469508834848176,0.91607696208556,1,-0.266474489855008,0.224377221214067,1,-0.00327975339666242,0.967887777680874,1
"Acbd4",0.079,0.076,0.083,0.075,-0.0594352490712344,0.873835389588398,1,0.207051958668075,0.854464972060288,1,-0.0518132357653598,0.838590197203836,1
"Acbd5",0.231,0.163,0.23,0.186,-0.402121904125394,0.0552068154862319,1,-0.00177894965129344,0.983370356360406,1,-0.219413184261428,0.18405772235955,1
"Acbd6",0.415,0.434,0.502,0.437,0.0880912067589656,0.631769013022367,1,0.363738413783751,0.017153064640526,1,0.134608540335787,0.435475363611287,1
"Acbd7",0.004,0.004,0.01,0.005,0.142198612098416,0.946497493663481,1,0.82372331911657,0.378780800167434,1,0.102514910625934,0.769398775611178,1
"Accs",0.011,0.004,0.026,0.01,-0.857801387901584,0.366377072075231,1,1.14565141400393,0.186530432162045,1,-0.16051949520786,0.951915843843436,1
"Accsl",0,0,0.003,0.003,0.142198612098417,1,1,0.823723319116571,0.348583828675758,1,0.517552409904779,0.399243489639243,1
"Acd",0.101,0.08,0.102,0.08,-0.305260364872805,0.396350104577663,1,0.0867577249503637,0.94437870345738,1,-0.219413184261428,0.367207116496515,1
"Ace",0.007,0,0,0.01,-1.44276388862274,0.178689894303164,1,-1.76123918160459,0.133051209789754,1,0.254518004070984,0.676836250717579,1
"Ace2",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Acer1",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Acer2",0.036,0.064,0.058,0.098,0.644698952627599,0.1465965205836,1,0.560688913282776,0.224947856468549,1,1.21799212804587,0.00247711340584862,1
"Acer3",0.043,0.036,0.048,0.028,0.0352834081819049,0.671915413178899,1,0.0163683970589661,0.7979274739456,1,-0.70484001143167,0.297961890032645,1
"Ache",0.181,0.092,0.153,0.116,-0.90510710267994,0.00322932066074082,1,-0.272491996142733,0.370395958915842,1,-0.629288978424493,0.0200478210768874,1
"Acin1",0.48,0.482,0.406,0.439,0.13286074751908,0.717187998577246,1,-0.157780337266041,0.117200059421694,1,-0.0581322772283672,0.388788233227697,1
"Ackr1",0.477,0.486,0.524,0.46,0.0319165570835058,0.762032023048207,1,0.0487898747513434,0.358463010956346,1,-0.27891419601009,0.296901700908736,1
"Ackr2",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Ackr3",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Ackr4",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Acly",0.603,0.606,0.578,0.543,0.0276867309747106,0.78406962383122,1,-0.0918844935930576,0.526284438491052,1,-0.0544322368181681,0.421211112141165,1
"Acnat1",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Aco1",0.101,0.1,0.096,0.145,0.0426629385475019,0.968932773353062,1,0.00429556475839066,0.851539909124855,1,0.493304863658101,0.0958836085038648,1
"Aco2",0.191,0.223,0.153,0.158,0.167289593061247,0.394294772432794,1,-0.336741353076676,0.217204723516609,1,-0.27094348490151,0.260811194506376,1
"Acod1",0,0.004,0,0,1.72716111281957,0.29522671927477,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Acot1",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Acot11",0,0.004,0.01,0,1.14219861209842,0.29522671927477,1,1.82372331911657,0.103058085801177,1,-0.482447590095221,1,1
"Acot12",0.004,0,0.003,0,-0.857801387901584,0.343068417052909,1,-0.17627668088343,0.932959469796681,1,-1.48244759009522,0.238421814811382,1
"Acot13",0.069,0.056,0.073,0.07,-0.179729482788946,0.552992999980567,1,0.0867577249503637,0.818400624701741,1,0.149820625404291,0.932358980388926,1
"Acot2",0.022,0.02,0.019,0.01,-0.0801938092380317,0.889823441297428,1,-0.17627668088343,0.831510656682092,1,-0.967874417265464,0.238178733326222,1
"Acot4",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Acot6",0,0,0.01,0,0.142198612098417,1,1,1.82372331911657,0.103058085801177,1,-0.482447590095221,1,1
"Acot7",0.116,0.1,0.147,0.129,-0.0672547535305337,0.580136719150577,1,0.342190408050819,0.260194868171073,1,0.238836381838714,0.589334516807599,1
"Acot8",0.054,0.012,0.061,0.047,-1.85780138790158,0.00770793040263491,1,0.145651414003932,0.734081549147531,1,-0.16051949520786,0.661667946107483,1
"Acot9",0,0.004,0.003,0,1.14219861209842,0.29522671927477,1,0.823723319116571,0.348583828675758,1,-0.482447590095221,1,1
"Acox1",0.3,0.315,0.316,0.284,0.0255536932461458,0.68965239857632,1,-0.10788970590318,0.851562947836553,1,-0.146580304249986,0.623630584547416,1
"Acox2",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Acox3",0.105,0.104,0.137,0.101,0.0932890116174696,0.979762305057461,1,0.408685819837726,0.221960428716158,1,-0.0674100908163782,0.870232568282081,1
"Acoxl",0.011,0.012,0.003,0.005,0.142198612098416,0.904654167743993,1,-1.17627668088343,0.260465452291196,1,-0.897485089374066,0.406404521027734,1
"Acp1",0.116,0.108,0.153,0.145,-0.0383736335434044,0.787584469400598,1,0.408685819837726,0.178943432007729,1,0.31273261801628,0.273640947380355,1
"Acp2",0.094,0.096,0.102,0.09,-0.0213001201844629,0.956440453796574,1,0.186293398501278,0.726379596692632,1,-0.00440029329057756,0.894661026667454,1
"Acp5",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Acp6",0.076,0.052,0.089,0.049,-0.635408966565136,0.254901941816492,1,0.145651414003932,0.56156294045768,1,-0.745481995929016,0.148757878541003,1
"Acpp",0,0.004,0,0,1.14219861209842,0.29522671927477,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Acr",0,0.004,0,0,1.14219861209842,0.29522671927477,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Acrbp",0.105,0.116,0.099,0.093,0.100378436403789,0.702884076643516,1,-0.305559697828397,0.766064107671022,1,-0.363803093596603,0.576755348328968,1
"Acrv1",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Acsbg1",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Acsbg2",0,0,0,0.003,0.142198612098417,1,1,-0.176276680883429,1,1,0.517552409904779,0.399243489639243,1
"Acsf2",0,0,0,0.013,0.142198612098417,1,1,-0.176276680883429,1,1,2.10251491062593,0.0579441850309973,1
"Acsf3",0.134,0.072,0.144,0.072,-0.967425879076082,0.0188003106186018,1,0.138596656469982,0.706613826375311,1,-0.885803284326431,0.008836065267294,1
