"GeneID","logFC_1","adj.P.Val_1","logFC_2","adj.P.Val_2","logFC_3","adj.P.Val_3","logFC_4","adj.P.Val_4","logFC_5","adj.P.Val_5","logFC_6","adj.P.Val_6"
"Nectin1",0.321364946864021,0.285434270205405,-0.016449207615344,0.984589512148366,-0.222521333176698,0.348406368911989,0.101037781424042,0.566715083482941,-0.168042017389114,0.176038028011043,-0.00945192448109489,0.982940376114844
"Nectin3",-0.0258764229396056,0.999455473488465,-0.0774993212078796,0.977374707066814,-0.0576713274659458,0.845168909746849,0.233730034459924,0.0790823486036095,-0.180686227910868,0.124599643842836,0.145133338965419,0.522734916827384
"Nedd4l",0.181844396952585,0.917254437895021,0.346585286728147,0.705185434893766,0.0959295578416204,0.841311123692781,-0.128332732320191,0.602422115241004,-0.677080939094432,5.892891726352e-06,0.245957374375572,0.508650602316912
"Nedd8",0.252867075534111,0.330016728033653,-0.0947186619577971,0.972599774869665,-0.308104583820191,0.0848576092216856,-0.164453975970579,0.25191284386869,0.202827497072447,0.0711024789189277,0.122779942546215,0.617872855517592
"Nefh",-0.0281962714567566,0.999455473488465,-0.0013621635889362,0.997632167016267,-0.14384819760683,0.496098288582332,0.278335502979922,0.0214384173508206,-0.218522176070639,0.0346350108494303,0.154474818388676,0.445707047349521
"Negr1",0.103062103152332,0.999455473488465,0.0527025690660226,0.977374707066814,0.143354548428751,0.690466476547832,0.29484592918089,0.120549996550784,-0.392256345725698,0.00924926448973904,-0.221543202112502,0.489350710599852
"Neil2",-0.0276414308056981,0.999455473488465,0.034574254785364,0.977374707066814,0.0361802519248912,0.853062634522562,0.255157795886759,0.00661235758806978,-0.218736575526184,0.00443237802283196,-0.0811738337788148,0.637025601132664
"Nenf",0.0974779333725588,0.559498570528494,-0.0329868966565037,0.977374707066814,-0.0843147310772629,0.491481062993124,-0.146579609540744,0.0383017668019656,0.0205037981603645,0.758090877717441,0.173101557867125,0.118138431341612
"Net1",0.049128576468408,0.999455473488465,0.0339433280891923,0.977374707066814,0.0200258468619663,0.933780514080059,0.250916812783794,0.0230380654538365,-0.21730897034787,0.0190647907181457,-0.151038797106862,0.410580295172103
"Neu3",0.0354604602281614,0.999455473488465,0.0290559110564972,0.977374707066814,0.043784392169657,0.821309993560044,0.169878387166559,0.0535137435675093,-0.20611592253458,0.00262484111149569,-0.0747442846800805,0.640317847554993
"Neurl1a",-0.0668162682675687,0.999455473488465,-0.0641103595556465,0.977374707066814,-0.0205278012081525,0.953005590766851,0.441810598465505,0.00782412797957435,-0.368111379088747,0.00617654267025633,0.121521638821287,0.697819498908088
