_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.8,GO:0072175,epithelial tube formation,M1,1,0
1,-2.4,GO:1904376,negative regulation of protein localization to cell periphery,M1,1,0
1,-3.4,R-MMU-9675108,Nervous system development,M1,1,0
1,-2.8,GO:0043542,endothelial cell migration,M1,1,0
1,-3.9,GO:0031589,cell-substrate adhesion,M1,1,0
1,-2.9,R-MMU-975634,Retinoid metabolism and transport,M1,1,0
1,-2.2,GO:0001823,mesonephros development,M1,1,0
1,-4.4,GO:0001568,blood vessel development,M1,1,0
1,-4.4,GO:1901699,cellular response to nitrogen compound,M1,1,0
1,-3.3,GO:0048812,neuron projection morphogenesis,M1,1,0
1,-2.2,GO:0048709,oligodendrocyte differentiation,M1,1,0
1,-2.1,GO:0010507,negative regulation of autophagy,M1,1,0
1,-4.8,GO:0090092,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,M1,1,0
1,-2.6,GO:0048593,camera-type eye morphogenesis,M1,1,0
1,-2.6,GO:0061136,regulation of proteasomal protein catabolic process,M1,1,0
1,-2.6,WP4351,Omega 9 fatty acid synthesis,M1,1,0
