"GeneID","logFC_1","adj.P.Val_1","logFC_2","adj.P.Val_2","logFC_3","adj.P.Val_3","logFC_4","adj.P.Val_4","logFC_5","adj.P.Val_5","logFC_6","adj.P.Val_6","logFC_7","adj.P.Val_7"
"Abhd17a",0.117893344989033,0.998454033907698,-0.111219869931663,0.999215727032816,-0.305070800463989,0.0352263576462386,0.240634906468933,0.205400939359996,-0.0784544789543033,0.674720242684688,0.225177314401963,0.0383117637013602,-0.146247642437941,0.444297484461124
"Abhd17b",0.131983513570169,0.998454033907698,0.14243012301511,0.999215727032816,-0.22760903694635,0.165483172250263,0.101175518684292,0.835017076892378,0.270967848924778,0.136686116423311,-0.291542965769349,0.00975276473031184,-0.30496558379922,0.107360686757247
"Abhd8",0.0703618428889279,0.998454033907698,-0.0699097773100705,0.999215727032816,-0.447139373360401,0.0449349288304864,0.358864121574034,0.205400939359996,0.0290848539643254,0.936314447623996,0.439507515904784,0.00875548833036328,-0.662012151508483,0.00808689263889763
"Ablim1",-0.131081986505326,0.998454033907698,0.0824788260563472,0.999215727032816,0.170229292354156,0.490671265475818,0.103287614739664,0.920738238772469,0.259829022436105,0.285412052631828,-0.606061568152983,4.25445652146712e-06,0.15901696440483,0.554756261238829
"Abraxas1",0.0652944075338542,0.998454033907698,-0.011695102493154,0.999215727032816,0.0152792488433428,0.890896145913313,-0.00379393948092871,0.99429389708379,0.0220994309741981,0.841001220898019,-0.155646295221497,0.00520611989023684,0.101783969182363,0.277136817591875
"Acaca",0.103570791056107,0.998454033907698,-0.13534098358332,0.999215727032816,0.263751918153025,0.467641201670496,-0.0812087765094834,0.99429389708379,0.174786003009059,0.642795282846539,-0.944839677164991,1.94896547077746e-06,1.03308077462482,0.00117959581932754
"Acad11",-0.000420950379598439,0.998454033907698,-0.00404549333679805,0.999215727032816,-0.0791765587783507,0.157831979380763,0.0867206230067852,0.205400939359996,0.0466101758372651,0.479664699765315,0.00739498959780127,0.862726923039294,-0.106460977524572,0.103756130528757
"Acadvl",0.0622120453639976,0.998454033907698,0.139226637390905,0.999215727032816,0.463844084642202,0.244315074849272,-0.0391873620405137,0.99429389708379,0.389523399063407,0.373311139664217,-1.29745650404072,2.0993253625066e-10,0.352518798537639,0.437231960002995
"Acat1",0.217325588589676,0.704736577890568,-0.122092351168666,0.999215727032816,-0.135350691440068,0.410089388364992,0.147392498935894,0.527778212361223,0.114547769068227,0.507786630660293,-0.25225197869486,0.0107913127785333,0.00841341142055108,0.970530263451903
"Acbd5",0.0630790710279469,0.998454033907698,0.0151882556197321,0.999215727032816,-0.0340663002699796,0.84694205363783,0.0760341977481659,0.847936489039457,0.0950758942195687,0.529945829149966,-0.307470213952929,2.82123317854826e-05,0.123238572364564,0.452008717703548
"Acer2",0.0127661102574066,0.998454033907698,-0.0262005767054219,0.999215727032816,0.0423699696181287,0.525009879956286,0.0372377093297697,0.810949983850539,0.0596675363755239,0.367825674258331,-0.124001796316639,0.00109030429925915,-0.0171015250673623,0.824584209164017
"Acer3",-0.0213788970729254,0.998454033907698,0.015145733470934,0.999215727032816,0.0211075551713724,0.808806349428765,-0.0216919096868762,0.974185554464106,-0.0198373557398984,0.81072839602417,-0.110943632374896,0.0152674574017107,0.24223999807277,2.49298807769658e-05
"Ache",-0.116972429763282,0.998454033907698,-0.0968964785261179,0.999215727032816,-0.0295182752016862,0.906379156260867,-0.0944718619761177,0.883204768305573,0.201457785133453,0.300404272448394,-0.267064080983507,0.0451193167404704,0.72817112376835,8.54273474990064e-07
"Ackr1",0.111281144600253,0.915184448965288,-0.0190444746776777,0.999215727032816,0.0709075716731762,0.464032294986416,-0.0207729649284356,0.99429389708379,0.0556374756494611,0.581807048738676,-0.226693863847461,3.6881135105635e-05,0.0165828207336315,0.884015456042976
"Acly",0.141745855753946,0.998454033907698,-0.0527683436074988,0.999215727032816,-0.319428583705957,0.161757178807516,0.272645338532852,0.372981256815521,0.352493614168864,0.167554550416527,-0.137097566082303,0.420015649582796,-0.514608032660827,0.0519153492829136
"Acox3",-0.0518609690402618,0.998454033907698,-0.0601004508744358,0.999215727032816,0.116720948694781,0.20940341622699,-0.00401977826187516,0.99429389708379,0.10642007689275,0.294480031106418,-0.228553698152902,8.10715247966216e-05,0.208275060481423,0.0373297624535956
