_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2,R-MMU-6794362,Protein-protein interactions at synapses,M1,1,0
1,-4.4,GO:0050808,synapse organization,M1,1,0
1,-2.9,GO:0014009,glial cell proliferation,M1,1,0
1,-2.8,mmu04151,PI3K-Akt signaling pathway - Mus musculus (house mouse),M1,1,0
1,-2.2,GO:0043523,regulation of neuron apoptotic process,M1,1,0
1,-3.6,R-MMU-9013026,RHOB GTPase cycle,M1,1,0
1,-2.2,GO:0019755,one-carbon compound transport,M1,1,0
1,-2.6,GO:0071786,endoplasmic reticulum tubular network organization,M1,1,0
1,-2.1,GO:1905954,positive regulation of lipid localization,M1,1,0
1,-2,GO:0051146,striated muscle cell differentiation,M1,1,0
1,-3.3,GO:0048662,negative regulation of smooth muscle cell proliferation,M1,1,0
1,-3.1,GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,M1,1,0
1,-2.1,GO:0046034,ATP metabolic process,M1,1,0
