Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:1990778,protein localization to cell periphery,19_GO:0051179 localization,-3.8,3.2,4.6,21160,283,330,14,4.2,1.1,11426|12296|16500|16561|19133|19878|20910|56297|70546|71648|76123|108797|109676|269116,Macf1|Cacnb2|Kcnb1|Kif1b|Prph2|Rock2|Stxbp1|Arl6|Zdhhc2|Optn|Gpsm2|Mex3b|Ank2|Nfasc,-1.5,hits
Reactome Gene Sets,6,R-MMU-1296065,Inwardly rectifying K+ channels,,-3.8,9.4,6.2,21160,34,330,5,1.5,0.67,14688|14693|14695|14699|211480,Gnb1|Gnb2|Gnb3|Gngt1|Kcnj14,-1.5,hits
GO Biological Processes,19,GO:0035020,regulation of Rac protein signal transduction,19_GO:0050896 response to stimulus,-3.8,9.4,6.2,21160,34,330,5,1.5,0.67,11603|68585|99167|108058|228357,Agrn|Rtn4|Ssx2ip|Camk2d|Lrp4,-1.5,hits
Reactome Gene Sets,6,R-MMU-1483257,Phospholipid metabolism,,-3.7,3.8,4.8,21160,187,330,11,3.3,0.99,14245|18708|18779|28169|52123|74596|99138|100434|114874|226856|237542,Lpin1|Pik3r1|Pla2r1|Agpat3|Agpat5|Cds1|Stard7|Slc44a1|Ddhd1|Lpgat1|Osbpl8,-1.4,hits
GO Biological Processes,19,GO:0009261,ribonucleotide catabolic process,19_GO:0009987 cellular process,-3.7,5.1,5.2,21160,101,330,8,2.4,0.85,15275|15277|17425|18640|18641|21991|23959|56421,Hk1|Hk2|Foxk1|Pfkfb2|Pfkl|Tpi1|Nt5e|Pfkp,-1.4,hits
GO Biological Processes,19,GO:0035022,positive regulation of Rac protein signal transduction,19_GO:0048518 positive regulation of biological process,-3.7,13,6.9,21160,19,330,4,1.2,0.6,11603|68585|108058|228357,Agrn|Rtn4|Camk2d|Lrp4,-1.4,hits
Reactome Gene Sets,6,R-MMU-8964616,G beta:gamma signalling through CDC42,,-3.7,13,6.9,21160,19,330,4,1.2,0.6,14688|14693|14695|14699,Gnb1|Gnb2|Gnb3|Gngt1,-1.4,hits
Reactome Gene Sets,6,R-MMU-392851,Prostacyclin signalling through prostacyclin receptor,,-3.7,13,6.9,21160,19,330,4,1.2,0.6,14688|14693|14695|14699,Gnb1|Gnb2|Gnb3|Gngt1,-1.4,hits
GO Biological Processes,19,GO:1903829,positive regulation of protein localization,19_GO:0051179 localization,-3.7,2.4,4.3,21160,556,330,21,6.4,1.3,11603|11789|14645|14725|16500|18640|18708|19245|19878|20614|22063|67564|68585|68617|70546|70572|76123|97064|228357|230872|245049,Agrn|Apc|Glul|Lrp2|Kcnb1|Pfkfb2|Pik3r1|Ptp4a3|Rock2|Snap25|Trpc1|Tmem35a|Rtn4|Mtcl1|Zdhhc2|Ipo5|Gpsm2|Wwtr1|Lrp4|Crocc|Myrip,-1.4,hits
GO Biological Processes,19,GO:0072594,establishment of protein localization to organelle,19_GO:0051179 localization,-3.7,2.8,4.4,21160,362,330,16,4.8,1.2,11426|12759|14725|15275|15277|16647|18708|19386|20848|21856|21929|58869|70572|77938|107305|238799,Macf1|Clu|Lrp2|Hk1|Hk2|Kpna2|Pik3r1|Ranbp2|Stat3|Timm44|Tnfaip3|Pex5l|Ipo5|Fam53b|Vps37c|Tnpo1,-1.4,hits
